facet	value	count
annotation_class	GO:0007411	2567
annotation_class	GO:0006891	2565
annotation_class	GO:0006906	2552
annotation_class	GO:0007018	2552
annotation_class	GO:0042273	2550
annotation_class	GO:0007268	2539
annotation_class	GO:0003727	2512
annotation_class	GO:0009658	2512
annotation_class	GO:0005778	2472
annotation_class	GO:0036064	2458
annotation_class	GO:0043022	2436
annotation_class	GO:0006099	2413
annotation_class	GO:0071011	2409
annotation_class	GO:0016787	2406
annotation_class	GO:0009931	2381
annotation_class	GO:0009416	2379
annotation_class	GO:0032259	2374
annotation_class	GO:0000462	2369
annotation_class	GO:0000049	2365
annotation_class	GO:0000028	2350
annotation_class	GO:1902531	2317
annotation_class	GO:0016607	2309
annotation_class	GO:0031624	2283
annotation_class	GO:0005769	2255
annotation_class	GO:0046540	2241
annotation_class	GO:0005686	2222
annotation_class	GO:0016413	2221
annotation_class	GO:0015297	2210
annotation_class	GO:0035725	2208
annotation_class	GO:0000145	2207
annotation_class	GO:0030170	2206
annotation_class	GO:0003730	2203
annotation_class	GO:0009827	2199
annotation_class	GO:0034599	2188
annotation_class	GO:0016251	2187
annotation_class	GO:0080043	2181
annotation_class	GO:0005871	2178
annotation_class	GO:0030674	2173
annotation_class	GO:0045454	2172
annotation_class	GO:0003684	2169
annotation_class	GO:0009755	2167
annotation_class	GO:0005200	2162
annotation_class	GO:0046933	2160
annotation_class	GO:0006289	2156
annotation_class	GO:0009506	2152
annotation_class	GO:0006487	2147
annotation_class	GO:0080044	2146
annotation_class	GO:0008422	2135
annotation_class	GO:0030182	2132
annotation_class	GO:0006974	2123
annotation_class	GO:0005666	2114
annotation_class	GO:0030234	2110
annotation_class	GO:0005685	2108
annotation_class	GO:0034605	2106
annotation_class	GO:0031386	2088
annotation_class	GO:0009570	2087
annotation_class	GO:0030150	2080
annotation_class	GO:0007169	2072
annotation_class	GO:0006629	2065
annotation_class	GO:0007005	2057
annotation_class	GO:0003777	2053
annotation_class	GO:0005544	2048
annotation_class	GO:0042742	2047
annotation_class	GO:0031593	2046
annotation_class	GO:0051604	2044
annotation_class	GO:0004725	2037
annotation_class	GO:0030134	2032
annotation_class	GO:0005765	2027
annotation_class	GO:0006631	2025
annotation_class	GO:0001228	2021
annotation_class	GO:0006506	2020
annotation_class	GO:0005635	2009
annotation_class	GO:0031647	2006
annotation_class	GO:0006874	2000
annotation_class	GO:0009408	1984
annotation_class	GO:0060090	1971
annotation_class	GO:0016706	1970
annotation_class	GO:0019706	1970
annotation_class	GO:1990756	1957
annotation_class	GO:0006633	1953
annotation_class	GO:0008168	1953
annotation_class	GO:0000423	1919
annotation_class	GO:1902476	1917
annotation_class	GO:0000776	1908
annotation_class	GO:0051225	1908
annotation_class	GO:0005912	1906
annotation_class	GO:0005543	1900
annotation_class	GO:0031072	1900
annotation_class	GO:0004190	1895
annotation_class	GO:0031267	1893
annotation_class	GO:0070588	1886
annotation_class	GO:0000463	1883
annotation_class	GO:0016226	1878
annotation_class	GO:0071004	1862
annotation_class	GO:0019843	1861
annotation_class	GO:0007399	1850
annotation_class	GO:0030488	1845
annotation_class	GO:0008284	1844
annotation_class	GO:0043066	1837
annotation_class	GO:0015986	1834
annotation_class	GO:0008146	1832
annotation_class	GO:0005385	1831
annotation_class	GO:0008320	1831
annotation_class	GO:0005793	1828
annotation_class	GO:0030687	1825
annotation_class	GO:0016324	1809
annotation_class	GO:0005262	1805
annotation_class	GO:0006635	1804
annotation_class	GO:0006302	1796
annotation_class	GO:0008139	1790
annotation_class	GO:0003746	1776
annotation_class	GO:0007059	1769
annotation_class	GO:0009705	1768
annotation_class	GO:0000407	1764
annotation_class	GO:0005680	1763
annotation_class	GO:0005930	1761
annotation_class	GO:0030968	1755
annotation_class	GO:0005815	1753
annotation_class	GO:0046854	1753
annotation_class	GO:0006261	1750
annotation_class	GO:0072583	1750
annotation_class	GO:0004185	1747
annotation_class	GO:0009651	1743
annotation_class	GO:0097602	1743
annotation_class	GO:0006367	1742
annotation_class	GO:0046910	1739
annotation_class	GO:0005665	1738
annotation_class	GO:0004620	1737
annotation_class	GO:0016485	1736
annotation_class	GO:0000987	1734
annotation_class	GO:0000118	1722
annotation_class	GO:0006954	1721
annotation_class	GO:0032956	1721
annotation_class	GO:0005507	1700
annotation_class	GO:0005669	1697
annotation_class	GO:0006094	1695
annotation_class	GO:0008643	1689
annotation_class	GO:0006366	1687
annotation_class	GO:0043025	1685
annotation_class	GO:0015031	1676
annotation_class	GO:0048278	1674
annotation_class	GO:0046856	1671
annotation_class	GO:0003887	1669
annotation_class	GO:0008171	1668
annotation_class	GO:0019953	1668
annotation_class	GO:0000146	1663
annotation_class	GO:0006493	1663
annotation_class	GO:0009982	1658
annotation_class	GO:0042744	1653
annotation_class	GO:0005774	1647
annotation_class	GO:0090575	1639
annotation_class	GO:0031490	1638
annotation_class	GO:0005773	1636
annotation_class	GO:0000287	1632
annotation_class	GO:0046513	1632
annotation_class	GO:0006406	1626
annotation_class	GO:0043138	1624
annotation_class	GO:0098542	1619
annotation_class	GO:0005694	1618
annotation_class	GO:0005929	1618
annotation_class	GO:0051321	1618
annotation_class	GO:0016197	1617
annotation_class	GO:0031902	1617
annotation_class	GO:0004857	1616
annotation_class	GO:0017148	1615
annotation_class	GO:0007218	1612
annotation_class	GO:0061608	1612
annotation_class	GO:0006270	1606
annotation_class	GO:0015179	1602
annotation_class	GO:0017056	1602
annotation_class	GO:0015250	1595
annotation_class	GO:0009966	1590
annotation_class	GO:0008360	1582
annotation_class	GO:0004864	1581
annotation_class	GO:0007052	1571
annotation_class	GO:0005770	1564
annotation_class	GO:0006744	1563
annotation_class	GO:0071577	1556
annotation_class	GO:0051453	1553
annotation_class	GO:0003779	1551
annotation_class	GO:0007131	1550
annotation_class	GO:0005814	1540
annotation_class	GO:0004176	1529
annotation_class	GO:0006006	1527
annotation_class	GO:0009055	1524
annotation_class	GO:0045505	1520
annotation_class	GO:0031463	1518
annotation_class	GO:0045259	1511
annotation_class	GO:0016323	1504
annotation_class	GO:0008540	1495
annotation_class	GO:0032543	1495
annotation_class	GO:0005938	1493
annotation_class	GO:0008198	1493
annotation_class	GO:0016925	1491
annotation_class	GO:0007265	1485
annotation_class	GO:0042542	1485
annotation_class	GO:0070971	1485
annotation_class	GO:0005682	1482
annotation_class	GO:0051923	1480
annotation_class	GO:0019221	1476
annotation_class	GO:0005736	1473
annotation_class	GO:0048471	1472
annotation_class	GO:0005643	1471
annotation_class	GO:0008076	1465
annotation_class	GO:0035267	1464
annotation_class	GO:0006865	1458
annotation_class	GO:0010494	1458
annotation_class	GO:0004386	1456
annotation_class	GO:0009738	1451
annotation_class	GO:0030527	1443
annotation_class	GO:0005771	1442
annotation_class	GO:0016709	1441
annotation_class	GO:0000786	1437
annotation_class	GO:0043410	1435
annotation_class	GO:0005763	1434
annotation_class	GO:0000175	1433
annotation_class	GO:0000387	1433
annotation_class	GO:0006298	1430
annotation_class	GO:0009834	1429
annotation_class	GO:0006414	1427
annotation_class	GO:0004175	1425
annotation_class	GO:0005546	1418
annotation_class	GO:0030490	1416
annotation_class	GO:0051726	1414
